"transactTime","transactType","amount","fee","address","transactStatus","walletBalance"
"2019-08-25T12:00:00.000Z","RealisedPNL","-13470","0","XBTUSD","Completed","58700346"
"2019-08-24T12:00:00.000Z","RealisedPNL","168850","0","XBTUSD","Completed","58713816"
"2019-08-23T12:00:00.000Z","RealisedPNL","148509","0","XBTUSD","Completed","58544966"
"2019-08-22T12:00:00.000Z","RealisedPNL","4641","0","XBTUSD","Completed","58396457"
"2019-08-21T12:00:00.000Z","RealisedPNL","164558","0","XBTUSD","Completed","58391816"
"2019-08-20T12:00:00.000Z","RealisedPNL","162261","0","XBTUSD","Completed","58227258"
"2019-08-19T12:00:00.000Z","RealisedPNL","25202","0","XBTUSD","Completed","58064997"
"2019-08-18T12:00:00.000Z","RealisedPNL","149273","0","XBTUSD","Completed","58039795"
"2019-08-17T12:00:00.000Z","RealisedPNL","-519327","0","XBTUSD","Completed","57890522"
"2019-08-16T12:00:00.000Z","RealisedPNL","6503383","0","XBTUSD","Completed","58409849"
"2019-08-15T13:19:33.432Z","Deposit","51906466","","","Completed","51906466"